"Region","ScenarioName","Centraltend","Time","Mode","Baseline","Scenario","PercentChange"
"California","CARB2030","mean","weekly","Walk",36.8722618,147.4890472,300
"Sacramento Area","CARB2030","mean","weekly","Walk",32.4,129.6,300
"San Diego County","CARB2030","mean","weekly","Walk",29.5,118,300
"San Joaquin Valley","CARB2030","mean","weekly","Walk",27.8,111.2,300
"SF Bay Area","CARB2030","mean","weekly","Walk",57.7967337,231.1869348,300
"Southern California","CARB2030","mean","weekly","Walk",32.6,130.4,300
"California","CARB2030","mean","weekly","Bike",3.6107393,32.4966537,800
"Sacramento Area","CARB2030","mean","weekly","Bike",5.8,52.2,800
"San Diego County","CARB2030","mean","weekly","Bike",4,36,800
"San Joaquin Valley","CARB2030","mean","weekly","Bike",1.8,16.2,800
"SF Bay Area","CARB2030","mean","weekly","Bike",5.8972102,53.0748918,800
"Southern California","CARB2030","mean","weekly","Bike",2.8,25.2,800
"California","CARB2030","mean","weekly","Total",40.4830011,179.9857009,344.595746386006
"Sacramento Area","CARB2030","mean","weekly","Total",38.2,181.8,375.916230366492
"San Diego County","CARB2030","mean","weekly","Total",33.5,154,359.701492537313
"San Joaquin Valley","CARB2030","mean","weekly","Total",29.6,127.4,330.405405405405
"SF Bay Area","CARB2030","mean","weekly","Total",63.6939439,284.2618266,346.293335275789
"Southern California","CARB2030","mean","weekly","Total",35.4,155.6,339.54802259887
"California","CARB2030","median","weekly","Walk",17.4931280349376,76.7749762067062,338.886493332524
"Sacramento Area","CARB2030","median","weekly","Walk",14.9568519857661,65.7085885787165,339.320979048592
"San Diego County","CARB2030","median","weekly","Walk",15.1453251811537,65.8925296959454,335.068438001844
"San Joaquin Valley","CARB2030","median","weekly","Walk",10.6089511196833,44.8094215041155,322.373720065298
"SF Bay Area","CARB2030","median","weekly","Walk",29.9793141245031,140.417603287461,368.381640434837
"Southern California","CARB2030","median","weekly","Walk",14.9701219335151,64.723469819307,332.350986229472
"California","CARB2030","median","weekly","Bike",1.71302550459979,16.9160345258171,887.494609998181
"Sacramento Area","CARB2030","median","weekly","Bike",2.67746115794579,26.4659592886497,888.472202859334
"San Diego County","CARB2030","median","weekly","Bike",2.05360341439372,20.1028056699494,878.90398550415
"San Joaquin Valley","CARB2030","median","weekly","Bike",0.686910504152157,6.52799126229021,850.340870146921
"SF Bay Area","CARB2030","median","weekly","Bike",3.05889806786822,32.2364631363991,953.858690978384
"Southern California","CARB2030","median","weekly","Bike",1.28577734398289,12.5079098117066,872.789719016313
"California","CARB2030","median","weekly","Total",19.2061535395374,93.6910107325233,387.817670204776
"Sacramento Area","CARB2030","median","weekly","Total",17.6343131437119,92.1745478673663,422.699960674307
"San Diego County","CARB2030","median","weekly","Total",17.1989285955474,85.9953353658948,400.004025763314
"San Joaquin Valley","CARB2030","median","weekly","Total",11.2958616238355,51.3374127664057,354.479830543235
"SF Bay Area","CARB2030","median","weekly","Total",33.0382121923713,172.65406642386,422.589011229022
"Southern California","CARB2030","median","weekly","Total",16.255899277498,77.2313796310136,375.097552664589
"California","CARB2030","mean","daily","Walk",5.26746597142857,21.0698638857143,300
"Sacramento Area","CARB2030","mean","daily","Walk",4.62857142857143,18.5142857142857,300
"San Diego County","CARB2030","mean","daily","Walk",4.21428571428571,16.8571428571429,300
"San Joaquin Valley","CARB2030","mean","daily","Walk",3.97142857142857,15.8857142857143,300
"SF Bay Area","CARB2030","mean","daily","Walk",8.25667624285714,33.0267049714286,300
"Southern California","CARB2030","mean","daily","Walk",4.65714285714286,18.6285714285714,300
"California","CARB2030","mean","daily","Bike",0.5158199,4.6423791,800
"Sacramento Area","CARB2030","mean","daily","Bike",0.828571428571429,7.45714285714286,800
"San Diego County","CARB2030","mean","daily","Bike",0.571428571428571,5.14285714285714,800
"San Joaquin Valley","CARB2030","mean","daily","Bike",0.257142857142857,2.31428571428571,800
"SF Bay Area","CARB2030","mean","daily","Bike",0.8424586,7.5821274,800
"Southern California","CARB2030","mean","daily","Bike",0.4,3.6,800
"California","CARB2030","mean","daily","Total",5.78328587142857,25.7122429857143,344.595746386006
"Sacramento Area","CARB2030","mean","daily","Total",5.45714285714286,25.9714285714286,375.916230366492
"San Diego County","CARB2030","mean","daily","Total",4.78571428571429,22,359.701492537313
"San Joaquin Valley","CARB2030","mean","daily","Total",4.22857142857143,18.2,330.405405405405
"SF Bay Area","CARB2030","mean","daily","Total",9.09913484285714,40.6088323714286,346.293335275789
"Southern California","CARB2030","mean","daily","Total",5.05714285714286,22.2285714285714,339.54802259887
"California","CARB2030","median","daily","Walk",2.49901829070537,10.9678537438152,338.886493332524
"Sacramento Area","CARB2030","median","daily","Walk",2.13669314082373,9.38694122553093,339.320979048592
"San Diego County","CARB2030","median","daily","Walk",2.16361788302196,9.4132185279922,335.068438001844
"San Joaquin Valley","CARB2030","median","daily","Walk",1.51556444566904,6.40134592915936,322.373720065298
"SF Bay Area","CARB2030","median","daily","Walk",4.2827591606433,20.0596576124944,368.381640434837
"Southern California","CARB2030","median","daily","Walk",2.13858884764501,9.24620997418672,332.350986229472
"California","CARB2030","median","daily","Bike",0.244717929228542,2.41657636083102,887.494609998181
"Sacramento Area","CARB2030","median","daily","Bike",0.382494451135112,3.78085132694996,888.472202859334
"San Diego County","CARB2030","median","daily","Bike",0.29337191634196,2.87182938142135,878.90398550415
"San Joaquin Valley","CARB2030","median","daily","Bike",0.0981300720217368,0.932570180327174,850.340870146921
"SF Bay Area","CARB2030","median","daily","Bike",0.436985438266888,4.60520901948558,953.858690978384
"Southern California","CARB2030","median","daily","Bike",0.183682477711841,1.78684425881522,872.789719016313
"California","CARB2030","median","daily","Total",2.74373621993391,13.3844301046462,387.817670204776
"Sacramento Area","CARB2030","median","daily","Total",2.51918759195884,13.1677925524809,422.699960674307
"San Diego County","CARB2030","median","daily","Total",2.45698979936392,12.2850479094135,400.004025763314
"San Joaquin Valley","CARB2030","median","daily","Total",1.61369451769078,7.33391610948653,354.479830543235
"SF Bay Area","CARB2030","median","daily","Total",4.71974459891019,24.66486663198,422.589011229022
"Southern California","CARB2030","median","daily","Total",2.32227132535685,11.0330542330019,375.097552664589
"California","SCS2040","mean","weekly","Walk",36.8722618,47.98394223,30.135608415538
"Sacramento Area","SCS2040","mean","weekly","Walk",32.4,37.6,16.0493827160494
"San Diego County","SCS2040","mean","weekly","Walk",29.5,55.3,87.4576271186441
"San Joaquin Valley","SCS2040","mean","weekly","Walk",27.8,49.9,79.4964028776978
"SF Bay Area","SCS2040","mean","weekly","Walk",57.7967337,64.1,10.9059213150656
