"Region","ScenarioName","Centraltend","Time","Mode","Baseline","Scenario","PercentChange"
"SF Bay Area","ShortTrips","mean","daily","Walk",8.25667624285714,11.3739285714286,37.7543243416885
"Southern California","ShortTrips","mean","daily","Walk",4.65714285714286,9.00379945054945,93.3331170363378
"California","ShortTrips","mean","daily","Bike",0.5158199,12.2109230769231,2267.28421623964
"Sacramento Area","ShortTrips","mean","daily","Bike",0.828571428571429,15.6940542582418,1794.10999668435
"San Diego County","ShortTrips","mean","daily","Bike",0.571428571428571,9.20819642857143,1511.434375
"San Joaquin Valley","ShortTrips","mean","daily","Bike",0.257142857142857,9.67784684065934,3663.60710470085
"SF Bay Area","ShortTrips","mean","daily","Bike",0.8424586,13.0649299450549,1450.80973059744
"Southern California","ShortTrips","mean","daily","Bike",0.4,14.5834271978022,3545.85679945055
"California","ShortTrips","mean","daily","Total",5.78328587142857,21.2050659340659,266.66120965637
"Sacramento Area","ShortTrips","mean","daily","Total",5.45714285714286,23.8653756868132,337.323638240032
"San Diego County","ShortTrips","mean","daily","Total",4.78571428571429,16.0332293956044,235.022703788749
"San Joaquin Valley","ShortTrips","mean","daily","Total",4.22857142857143,17.3014017857143,309.154771959459
"SF Bay Area","ShortTrips","mean","daily","Total",9.09913484285714,24.4388585164835,168.584419711816
"Southern California","ShortTrips","mean","daily","Total",5.05714285714286,23.5872266483516,366.414086266841
"California","ShortTrips","median","daily","Walk",2.49901829070537,4.58234091495908,83.3656413001154
"Sacramento Area","ShortTrips","median","daily","Walk",2.13669314082373,4.10210199191545,91.9836739090208
"San Diego County","ShortTrips","median","daily","Walk",2.16361788302196,3.69999621447605,71.0096890726477
"San Joaquin Valley","ShortTrips","median","daily","Walk",1.51556444566904,3.06104619706525,101.974004194454
"SF Bay Area","ShortTrips","median","daily","Walk",4.2827591606433,6.36015617676021,48.5060433751979
"Southern California","ShortTrips","median","daily","Walk",2.13858884764501,4.49740323224059,110.297703422192
"California","ShortTrips","median","daily","Bike",0.244717929228542,6.22122789392491,2442.20355391897
"Sacramento Area","ShortTrips","median","daily","Bike",0.382494451135112,7.87860467816865,1959.79581005363
"San Diego County","ShortTrips","median","daily","Bike",0.29337191634196,4.99196005241825,1601.580749331
"San Joaquin Valley","ShortTrips","median","daily","Bike",0.0981300720217368,3.88589529174918,3859.94338095301
"SF Bay Area","ShortTrips","median","daily","Bike",0.436985438266888,7.30574263475824,1571.85036273366
"Southern California","ShortTrips","median","daily","Bike",0.183682477711841,7.28443064250375,3865.77329163181
"California","ShortTrips","median","daily","Total",2.74373621993391,10.803568808884,293.753915933807
"Sacramento Area","ShortTrips","median","daily","Total",2.51918759195884,11.9807066700841,375.578186726788
"San Diego County","ShortTrips","median","daily","Total",2.45698979936392,8.6919562668943,253.764442536332
"San Joaquin Valley","ShortTrips","median","daily","Total",1.61369451769078,6.94694148881443,330.499168997339
"SF Bay Area","ShortTrips","median","daily","Total",4.71974459891019,13.6658988115184,189.547422008258
"Southern California","ShortTrips","median","daily","Total",2.32227132535685,11.7818338747443,407.340970286229
