Region,Mode,Baseline
California,Walk,47.98394223
California,Bike,5.446946406
SF Bay Area,Walk,64.1
SF Bay Area,Bike,7.04
San Joaquin Valley,Walk,49.9
San Joaquin Valley,Bike,3.9
Sacramento Area,Walk,37.6
Sacramento Area,Bike,6.5
Southern California,Walk,41.5
Southern California,Bike,4.7
San Diego County,Walk,55.3
San Diego County,Bike,7.6
