Region,Mode,Baseline
California,Walk,36.8722618
California,Bike,3.6107393
SF Bay Area,Walk,57.7967337
SF Bay Area,Bike,5.8972102
San Joaquin Valley,Walk,27.8
San Joaquin Valley,Bike,1.8
Sacramento Area,Walk,32.4
Sacramento Area,Bike,5.8
Southern California,Walk,32.6
Southern California,Bike,2.8
San Diego County,Walk,29.5
San Diego County,Bike,4
